record_id,title,abstract,doi,asreview_prior,exported_notes_1,included,asreview_ranking
6,Prognostic Characteristics of Metabolic Dysfunction-Associated Steatotic Liver in Patients with Obesity Who Undergo One Anastomosis Gastric Bypass Surgery: A Secondary Analysis of Randomized Controlled Trial Data.,"Metabolic dysfunction-associated steatotic liver disease (MASLD) is closely associated with obesity and insulin resistance (IR). Identifying characteristics that predict a higher risk of fibrosis using noninvasive methods is particularly important. We performed a secondary analysis of data from an RCT of 48 patients after one anastomosis gastric bypass (OAGB) surgery, supplemented with specifically formulated probiotics and micronutrients or control treatment for 12 weeks. Patients were categorized using alanine aminotransferase (ALAT; >35 U/L for women, >50 U/L for men), higher NAFLD fibrosis score (NFS) > -1.455), and IR (HOMA-IR > 2.0). This trial was registered at Clinicaltrials.gov (ID: NCT03585413). Abnormal ALAT was associated with high triglycerides, blood pressure (BP), glucose, and fatty liver index (FLI). NFS > -1.455 was linked to higher age, body mass, waist circumference, and FLI, and lower albumin and platelet count. HOMA-IR > 2.0 was associated with higher BP and triglycerides, lower HDL-cholesterol, higher serum transaminases, and higher probabilities of steatosis and fibrosis. Twelve weeks postoperatively, patients with NFS > -1.455 showed greater reductions in body mass, systolic BP, serum insulin, and HbA1c, whereas those with NFS â‰¤ -1.455 showed improvements in FLI and lipid metabolism but had high glucose concentrations. Patients with HOMA-IR â‰¤ 2.0 also had high glucose concentrations. The evaluation of common biomarker scores for fibrosis and IR may help clinicians to recognize severe NAFLD and improve the outcomes of OAGB surgery.",10.3390/nu16183210,1,,1,1
10,EFFICACY AND SAFETY OF ONE ANASTOMOSIS GASTRIC BYPASS IN SURGICAL TREATMENT OF OBESITY: SYSTEMATIC REVIEW AND META-ANALYSIS OF RANDOMIZED CONTROLLED TRIALS.,"One anastomosis gastric bypass (OAGB) has gained prominence in the search for better results in bariatric surgery. However, its efficacy and safety compared to Roux-en-Y gastric bypass (RYGB) and sleeve gastrectomy (SG) remain ill-defined. To compare the efficacy and safety of OAGB relative to RYGB and SG in the treatment of obesity. We systematically searched PubMed, EMBASE, Cochrane Library, Lilacs, and Google Scholar databases for randomized controlled trials comparing OAGB with RYGB or SG in the surgical approach to obesity. We pooled outcomes for body mass index, percentage of excess weight loss, type-2 diabetes mellitus remission, complications, and gastroesophageal reflux disease. Statistical analyses were performed with R software (version 4.2.3). Data on 854 patients were extracted from 11 randomized controlled trials, of which 422 (49.4%) were submitted to OAGB with mean follow-up ranging from six months to five years. The meta-analysis revealed a significantly higher percentage of excess weight loss at 1-year follow-up and a significantly lower body mass index at 5-year follow-up in OAGB patients. Conversely, rates of type-2 diabetes mellitus remission, complications, and gastroesophageal reflux disease were not significantly different between groups. The overall quality of evidence was considered very low. Our results corroborate the comparable efficacy of OAGB in relation to RYGB and SG in the treatment of obesity, maintaining no significant differences in type-2 diabetes mellitus remission, complications, and gastroesophageal reflux disease rates.",10.1590/0102-6720202400021e1814,1,,1,2
31,Laparoscopic Roux-Y-gastric bypass versus laparoscopic one-anastomosis gastric bypass for obesity: clinical & metabolic results of a prospective randomized controlled trial.,"One anastomosis gastric bypass (OAGB) has been proposed as an effective alternative to the current standard procedure in Switzerland, Roux-en-Y gastric bypass (RYGB). Prospective data comparing both procedures are scarce. Therefore, we performed a non-inferiority randomized controlled trial assessing the effectiveness and safety of these 2 operative techniques. Eighty patients were randomized 1:1. OAGB consisted of a very long gastric pouch with a 200Â cm biliopancreatic limb, RYGB of a 150Â cm ante-colic alimentary and a 60Â cm biliopancreatic limb, respectively. Primary endpoint was the percent excess weight loss (%EWL) at 12Â months after surgery. Mean %EWL at 12Â months was 87.9% (SD24.4) in the RYGB group and 104.1% (SD24.6) in the OAGB group (pâ€‰=â€‰0.006). There was no mortality. The rate of marginal ulcers was higher in patients with OAGB compared to those with RYGB (pâ€‰=â€‰0.011), while the total number of late complications did not statistically differ between the two groups. Except for the remission of GERD, which was higher in the RYGB group compared to OAGB, there was no difference between the groups regarding the remission of comorbidities. OAGB showed improved glucose control compared to the RYGB after 1 year (pâ€‰=â€‰0.001). Furthermore, glucagon-like peptide-1 increase was significantly higher in OAGB at 6 weeks (pâ€‰=â€‰0.041) and 1 year after surgery (pâ€‰=â€‰0.029). Quality of life improved after both surgeries, without differences between the groups. %EWL 1 year after surgery was higher in OAGB than in RYGB. A better glycemic control with a higher increase in GLP-1 was observed after OAGB compared to RYGB. This trial is registered on ClinicalTrials.gov under the identifier NCT02601092.",10.1007/s00464-024-10907-7,1,,1,3
40,Laparoscopic sleeve gastrectomy vs one-anastomosis gastric bypass 5-year follow-up: a single-blinded randomized controlled trial.,"Laparoscopic sleeve gastrectomy (LSG) is the most performed bariatric procedure worldwide, whereas one-anastomosis gastric bypass (OAGB) is the third most performed procedure. Both procedures have reported good weight loss (WL) and low complications. However, should both have differences in the durability of WL and malnutrition? A single-blinded, randomized controlled trial of 300 patients was conducted to compare the outcomes of LSG and OAGB over a 5-year follow-up. The primary endpoint was WL in percentages of total WL (%TWL) and excess WL (%EWL). The secondary endpoints were complications, gastroesophageal reflux disease (GERD), associated medical problems, bariatric analysis and reporting outcome system (BAROS) assessment, and weight recurrence (WR). Overall, 201 patients (96 in the LSG group and 105 in the OAGB group) completed 5 years of follow-up. OAGB had significantly higher %TWL and %EWL than those of LSG throughout the follow-up. LSG had significantly higher WR and GERD. Both procedures had significant improvement in associated medical problems and BAROS scores compared with baseline, with no significant difference. WR was associated with higher relapse of associated medical conditions after initial remission and with lower BAROS scores regarding WL scores. OAGB had significantly higher WL, less WR, and less GERD. However, it had a higher incidence of bile reflux. Both procedures had comparable complication rates, excellent remissions in associated medical problems, and improved quality of life. WR was associated with significantly more relapse of associated medical problems and significantly lower BAROS scores.",10.1016/j.gassur.2024.01.038,1,,1,4
52,A Three-Arm Randomized Controlled Trial of Primary One-Anastomosis Gastric Bypass: With FundoRing or Nissen Fundoplications vs. without Fundoplication for the Treatment of Obesity and Gastroesophageal Reflux Disease.,"Background and Objectives: Obesity and gastroesophageal reflux disease (GERD) are steadily increasing world weight and antireflux surgery must be performed simultaneously with bariatric surgery in obese patients. The purpose of this study is to compare bariatric and antireflux results after OAGB with different methods of fundoplication using the excluded stomach and without fundoplication. Materials and methods: This open-label, randomized, parallel three-arm trial was conducted from March 2019 and December 2021. All patients underwent laparoscopic one-anastomosis gastric bypass and suture cruroplasty, and then had a follow-up at 24 months. Group 1 of patients had fundoplication FundoRing using the excluded stomach (FundoRingOAGB); Group 2, with Nissen fundoplication using the excluded stomach (NissenOAGB); and Group 3, without fundoplication (OAGB). We studied changes in BMI, GERD symptoms (GERD-HRQL), and the VISICK score. Results: Of 219 participants screened, 150 were randomly allocated to 3 groups: FundoRingOAGB group (n = 50), NissenOAGB group (n = 50), and OAGB group (n = 50). At post-treatment month 24, BMI changes were as follows: from 40.7 Â± 5.9 (31-53) to 24.3 Â± 2.8 (19-29) kg/m2 in FundoRingOAGB group; from 39.9 Â± 5.3 (32-54) to 26.3 Â± 2.9 (23-32) kg/m2 in Nissen group; and from 40.9 Â± 6.2 (32-56) to 28.5 Â± 3.9 (25-34) kg/m2 in OAGB group. The mean pre-operative GERD-HRQL heartburn score improved post-op in FundoRingOAGB group from 20.6 Â± 2.24 (19.96, 21.23) to 0.44 Â± 0.73 (0.23, 0,64); in NissenOAGB group from 21.34 Â± 2.43 (20.64, 22.03) to 1.14 Â± 1.4 (0.74, 1.53); and in OAGB group 20.5 Â± 2.17 (19.9, 21.25) to 2.12 Â± 1.36 (1.73, 2.5). GERD-HRQL total scores were from pre-op 25.2 Â± 2.7 (24.4, 25.9) to 4.34 Â± 1.3 (3.96, 4.7) post-op in FundoRingOAGB group; 24.8 Â± 2.93 (24, 25.67) pre-op to 5.42 Â± 1.7 (4.9, 5.9) in the NissenOAGB group; and from 21.46 Â± 2.7 (20.7, 22.2) to 7.44 Â± 2.7 (6.6, 8.2) in the OAGB group. The mean VISICK score improved from 3.64 Â± 0.94 (3.7, 3.9) to 1.48 Â± 1.26 (1.12, 1.84) in FundoRingOAGB, from 3.42 Â± 0.97 (3.1, 3,7) to 2.5 Â± 1.46 (2.06, 2.9) in NissenOAGB group and from 3.38 Â± 0.88 (3.1, 3,69) to 2.96 Â± 1.19 (2.62, 3.2) in OAGB group. Conclusions: Antireflux and bariatric results of FundoRingOAGB are better than using the NissenOAGB method and significantly better than OAGB without the use of fundoplication.",10.3390/medicina60030405,1,,1,5
54,Effect of anti-reflux suture on gastroesophageal reflux symptoms after one anastomosis gastric bypass: a randomized controlled trial.,"Gastroesophageal reflux disease (GERD) is an issue after one anastomosis gastric bypass (OAGB) and modification of OAGB with adding an anti-reflux system may decrease the incidence of postoperative GERD. This study aimed to compare the efficacy of the anti-reflux mechanism to treat preoperative GERD and prevent de novo GERD. A prospective randomized clinical trial study was conducted on patients with a body mass index of 40 and more from August 2020 to February 2022. Patients undergoing one anastomosis gastric bypass with and without anti-reflux sutures (groups A and B, respectively). These patients had follow-ups for one year after the surgery. GERD symptoms were assessed in all the patients using the GERD symptom questionnaire. The mean age was 39.5â€‰Â±â€‰9.8 years and 40.7â€‰Â±â€‰10.2 years in groups A and B respectively. GERD symptoms remission occurred in 76.5% and 68.4% of patients in groups A and B, respectively. The incidence of de novo GERD symptoms was lower in group A, compared to group B (6.2% and 16.1% in groups A and B respectively), without any statistically significant difference (p-value: 0.239). GERD symptoms and de novo GERD after OAGB seems to be under-reported after OAGB. This study suggests that applying an anti-reflux suture can decrease de novo GERD symptoms.",10.1007/s00464-024-10792-0,1,,1,6
59,LSG vs OAGB: 7-Year Follow-up Data of a Randomised Control Trial and Comparative Outcome Based on BAROS Score.,"This study aims to evaluate and compare long-term results of laparoscopic sleeve gastrectomy (LSG) and one anastomosis gastric bypass (OAGB) based on bariatric analysis reporting and outcome system (BAROS) score. Patients operated for morbid obesity between 2013 and 2015 were randomised to LSG and OAGB groups. Based on inclusion and exclusion criteria, 201 patients (100 LSG and 101 OAGB) were analysed for changes in total body weight (TBW), body mass index (BMI), percent excess weight loss (%EWL), percent total weight loss (%TWL), QoL (quality of life) scores, comorbidity resolution and outcome based on BAROS at 7Â years. Sixty-six LSG and 64 OAGB patients were followed up at 7Â years. Mean pre-operative TBW and BMI were 119â€‰Â±â€‰28.2 and 44.87â€‰Â±â€‰7.71 for LSG group and 113.25â€‰Â±â€‰23.74 and 44.71â€‰Â±â€‰8.75 for OAGB group respectively. At 7Â years after surgery, there was significant drop in mean TBW and BMI in both groups. Mean %EWL for LSG and OAGB patients was 50.78â€‰Â±â€‰28.48 and 59.99â€‰Â±â€‰23.32 and mean %TWL for LSG and OAGB patients was 23.22â€‰Â±â€‰12.66 and 27.71â€‰Â±â€‰12.27 respectively. Mean QoL scores at 7Â years were significantly higher than the pre-operative scores and most of the patients in both groups had remission or improvement in their comorbidities. 68.76% OAGB patients had very good or excellent outcome on BAROS score while only 36.37% LSG patients had similar outcome. LSG and OAGB are successful bariatric procedures over the long term. OAGB outperforms LSG and has significantly higher %EWL and %TWL over the long term.",10.1007/s11695-024-07114-7,1,,1,7
57,"Efficacy and safety of one anastomosis gastric bypass versus Roux-en-Y gastric bypass at 5 years (YOMEGA): a prospective, open-label, non-inferiority, randomised extension study.","The multicentre randomised trial YOMEGA (NCT02139813) comparing the one anastomosis gastric bypass (OAGB) with the Roux-en-Y gastric bypass (RYGB) confirmed the non-inferiority of OAGB on weight loss outcomes at 24 months. We aimed to report weight loss, metabolic, and safety outcomes at 5 years. YOMEGA is a prospective, open-label, non-inferiority, randomised trial conducted at nine centres in France. Inclusion criteria were BMI of 40 kg/m2 or more, or 35 kg/m2 or more with comorbidities. Key exclusion criteria were severe gastro-oesophageal reflux disease or Barrett's oesophagus and previous bariatric surgery. Patients were randomly assigned (1 :1) to OAGB (one gastrojejunal anastomosis with a 200 cm biliopancreatic limb) or RYGB (with a 150 cm alimentary limb and a 50 cm biliary limb), stratified by centre, with blocks of variable size. The primary endpoint of this extension study was percentage excess BMI loss and was analysed in the per-protocol population, including patients with data who were operated on with the technique randomly assigned to them and excluding patients with major deviations from the protocol during the follow-up (change of surgical technique, death, or withdrawal of consent). Non-inferiority was concluded for the primary endpoint if the upper bound of the CI was less than the non-inferiority limit (7 percentage points). YOMEGA is registered with ClinicalTrials.gov, NCT02139813, and the 5-year follow-up of YOMEGA is registered with ClinicalTrials.gov, NCT05549271. Between May 13, 2014, and March 2, 2016, 253 patients were randomly assigned to OAGB (n=129) or RYGB (n=124), and from these patients 114 in the OAGB group and 118 in the RYGB group were included in the per-protocol analysis. In the per-protocol population, at baseline, mean age was 43Â·0 years (SD 10Â·8), mean BMI was 44Â·0 kg/m2 (5Â·6), 54 (23%) patients were male and 178 (77%) were female; 55 (27%) of 207 patients had type 2 diabetes. After 5 years, mean percentage excess BMI loss was -75Â·6% (SD 28Â·1) in the OAGB group versus -71Â·4% (SD 29Â·8) in the RYGB group, confirming non-inferiority (mean difference -4Â·1% [90% CI -12Â·0 to 3Â·7], p=0Â·0099). Remission of type 2 diabetes was similar in both groups. Nutritional status did not differ; the most common adverse event was clinical gastro-oesophageal reflux disease, occurring in 27 (41%) of 66 patients in the OAGB group versus 14 (18%) of 76 patients in the RYGB group (p=0Â·0030). Among serious adverse events, ten (8%) of 127 patients converted from OAGB to RYGB. 171 (68%) of 253 patients were followed up. OAGB was not inferior to RYGB regarding percentage excess BMI loss at 5 years with similar metabolic outcomes. The high rate of clinical gastro-oesophageal reflux disease after OAGB raises questions about its long-term consequences, which need to be further investigated. Medtronic.",10.1016/S2213-8587(24)00035-4,1,,1,8
676,"Efficacy and safety of one anastomosis gastric bypass versus Roux-en-Y gastric bypass for obesity (YOMEGA): a multicentre, randomised, open-label, non-inferiority trial.","One anastomosis gastric bypass (OAGB) is increasingly used in the treatment of morbid obesity. However, the efficacy and safety outcomes of this procedure remain debated. We report the results of a randomised trial (YOMEGA) comparing the outcomes of OAGB versus standard Roux-en-Y gastric bypass (RYGB). This prospective, multicentre, randomised non-inferiority trial, was held in nine obesity centres in France. Patients were eligible for inclusion if their body-mass index (BMI) was 40 kg/m2 or higher, or 35 kg/m2 or higher with the presence of at least one comorbidity (type 2 diabetes, high blood pressure, obstructive sleep apnoea, dyslipidaemia, or arthritis), and were aged 18-65 years. Key exclusion criteria were a history of oesophagitis, Barrett's oesophagus, severe gastro-oesophageal reflux disease resistant to proton-pump inhibitors, and previous bariatric surgery. Participants were randomly assigned (1:1) to OAGB or RYGB, stratified by centre with blocks of variable size; the study was open-label, with no masking required. RYGB consisted of a 150 cm alimentary limb and a 50 cm biliary limb and OAGB of a single gastrojejunal anastomosis with a 200 cm biliopancreatic limb. The primary endpoint was percentage excess BMI loss at 2 years. The primary endpoint was assessed in the per-protocol population and safety was assessed in all randomised participants. This study is registered with ClinicalTrials.gov, number NCT02139813, and is now completed. From May 13, 2014, to March 2, 2016, of 261 patients screened for eligibility, 253 (97%) were randomly assigned to OAGB (n=129) or RYGB (n=124). Five patients did not undergo their assigned surgery, and after undergoing their surgery 14 were excluded from the per-protocol analysis (seven due to pregnancy, two deaths, one withdrawal, and four revisions from OAGB to RYGB) In the per-protocol population (n=117 OAGB, n=117 RYGB), mean age was 43Â·5 years (SD 10Â·8), mean BMI was 43Â·9 kg/m2 (SD 5Â·6), 176 (75%) of 234 participants were female, and 58 (27%) of 211 with available data had type 2 diabetes. After 2 years, mean percentage excess BMI loss was -87Â·9% (SD 23Â·6) in the OAGB group and -85Â·8% (SD 23Â·1) in the RYGB group, confirming non-inferiority of OAGB (mean difference -3Â·3%, 95% CI -9Â·1 to 2Â·6). 66 serious adverse events associated with surgery were reported (24 in the RYGB group vs 42 in the OAGB group; p=0Â·042), of which nine (21Â·4%) in the OAGB group were nutritional complications versus none in the RYGB group (p=0Â·0034). OAGB is not inferior to RYGB regarding weight loss and metabolic improvement at 2 years. Higher incidences of diarrhoea, steatorrhoea, and nutritional adverse events were observed with a 200 cm biliopancreatic limb OAGB, suggesting a malabsorptive effect. French Ministry of Health.",10.1016/S0140-6736(19)30475-1,1,,1,9
240,The United States Experience with One Anastomosis Gastric Bypass at MBSAQIP-Accredited Centers.,"One anastomosis gastric bypass (OAGB) has emerged as a potentially safe and effective weight-loss procedure. Worldwide, OAGB is the third most commonly performed primary bariatric procedure, comprising 4% of the annual volume. In the USA, OAGB has yet to be endorsed as a primary bariatric procedure and can only be performed under research protocols or as a revision procedure. We performed an observational cohort study to describe the preoperative, intraoperative, and postoperative characteristics of adult patients who underwent primary or revision OAGB from 2015 to 2019 at MBSAQIP centers. Exclusion criteria included emergent surgery, incomplete 30-day follow-up, and non-laparoscopic- or robotic approach. During the study period, 803,906 bariatric procedures were performed and 645 (0.08%) were OAGB. Among these, 436 (67.6%) were primary and 209 (32.4%) were revision OAGB. The mean operation time was 89Â min (SD, 59) and 8% were performed using a robotic approach. The overall complication rate was 7.4% and there was one death (0.2%). The post-operative complication rates were generally higher than the early complication rate (3.4%) reported in the YOMEGA trial, an RCT from France. Revision OAGB had a longer mean operation time of 141Â min (SD, 85, pâ€‰<â€‰0.001). Primary OAGB was a rarely performed bariatric procedure at MBSAQIP-accredited centers comprising only 0.05% compared to 4% worldwide. Future studies should compare safety of OAGB to that of established bariatric procedures like Roux-en-Y gastric bypass and sleeve gastrectomy.",10.1007/s11695-022-06002-2,1,,1,10
